dataset,batch_size,seed_size,acq_name,clf,rep,trial_idx,iter_idx,train_size,score,init,ts
agnews,500,500,margin,BERT,BERT,0,6,4000,0.934526142624325,init_random,2024-03-09 19:09:46.301664
agnews,500,500,margin,BERT,BERT,0,7,4500,0.932967331857816,init_random,2024-03-09 19:53:53.476707
agnews,500,500,margin,BERT,BERT,0,8,5000,0.9365902249636142,init_random,2024-03-09 20:40:52.165035
agnews,500,500,margin,BERT,BERT,1,-1,500,0.8812239355563746,init_random,2024-03-12 04:45:01.532161
agnews,500,500,margin,BERT,BERT,1,0,1000,0.913502142756902,init_random,2024-03-12 05:00:58.003572
agnews,500,500,margin,BERT,BERT,1,1,1500,0.9200204788922162,init_random,2024-03-12 05:20:59.268213
agnews,500,500,margin,BERT,BERT,1,2,2000,0.9164497603384124,init_random,2024-03-12 05:44:57.389537
agnews,500,500,margin,BERT,BERT,1,3,2500,0.9240866683057396,init_random,2024-03-12 06:13:56.681664
agnews,500,500,margin,BERT,BERT,1,4,3000,0.9271142806068876,init_random,2024-03-12 06:46:18.721088
agnews,500,500,margin,BERT,BERT,1,5,3500,0.93266613618933,init_random,2024-03-12 07:22:27.980052
agnews,500,500,margin,BERT,BERT,1,6,4000,0.933256810465702,init_random,2024-03-12 08:03:53.673191
agnews,500,500,margin,BERT,BERT,1,7,4500,0.9355899105826758,init_random,2024-03-12 08:48:34.869041
agnews,500,500,margin,BERT,BERT,1,8,5000,0.9352469395915386,init_random,2024-03-12 09:37:34.319867
agnews,500,500,margin,BERT,BERT,2,-1,500,0.900478539161246,init_random,2024-03-14 01:58:11.104881
agnews,500,500,margin,BERT,BERT,2,0,1000,0.9097062427076842,init_random,2024-03-14 02:14:10.145909
agnews,500,500,margin,BERT,BERT,2,1,1500,0.9162904150118292,init_random,2024-03-14 02:34:12.113268
agnews,500,500,margin,BERT,BERT,2,2,2000,0.9208112718458492,init_random,2024-03-14 02:58:50.088716
agnews,500,500,margin,BERT,BERT,2,3,2500,0.9206347100218266,init_random,2024-03-14 03:26:01.262231
agnews,500,500,margin,BERT,BERT,2,4,3000,0.9266031614353883,init_random,2024-03-14 03:57:42.186420
agnews,500,500,margin,BERT,BERT,2,5,3500,0.9318310844010984,init_random,2024-03-14 04:35:04.314406
agnews,500,500,margin,BERT,BERT,2,6,4000,0.9317472451141278,init_random,2024-03-14 05:28:54.895374
agnews,500,500,margin,BERT,BERT,2,7,4500,0.9361073374008464,init_random,2024-03-14 06:12:53.341330
agnews,500,500,margin,BERT,BERT,2,8,5000,0.9361945078052452,init_random,2024-03-14 06:59:35.366997
agnews,500,500,random,BERT,BERT,0,-1,500,0.8831598771153267,init_random,2024-03-08 21:27:12.700161
agnews,500,500,random,BERT,BERT,0,0,1000,0.9090982420586248,init_random,2024-03-08 21:53:20.990716
agnews,500,500,random,BERT,BERT,0,1,1500,0.9093132835074204,init_random,2024-03-08 22:22:36.139161
agnews,500,500,random,BERT,BERT,0,2,2000,0.8999822730448304,init_random,2024-03-08 22:58:29.999799
agnews,500,500,random,BERT,BERT,0,3,2500,0.9100799890688188,init_random,2024-03-08 23:36:39.827065
agnews,500,500,random,BERT,BERT,0,4,3000,0.914423234285706,init_random,2024-03-09 00:19:54.582572
