dataset,clf,rep,acq_name,iter_idx,train_size,avg_score,stdev
agnews,LinearSVC,MPNet,dal,19,4200,0.8973137141077471,0.0009173338492767367
agnews,LinearSVC,MPNet,dal,20,4400,0.8963506287101627,0.0038067367219626123
agnews,LinearSVC,MPNet,dal,21,4600,0.8983457206379564,0.0017434957852540578
agnews,LinearSVC,MPNet,dal,22,4800,0.8977779841608284,0.002139655551434557
agnews,LinearSVC,MPNet,dal,23,5000,0.8997153066036075,0.0015641564341345026
agnews,LinearSVC,MPNet,margin,-1,200,0.8314342870936128,0.0027031461251525476
agnews,LinearSVC,MPNet,margin,0,400,0.8656507445296172,0.0029046434358541676
agnews,LinearSVC,MPNet,margin,1,600,0.8736875428581056,0.005381926503638009
agnews,LinearSVC,MPNet,margin,2,800,0.8832250617730288,0.011152478449926229
agnews,LinearSVC,MPNet,margin,3,1000,0.886085601324297,0.0025937239442424312
agnews,LinearSVC,MPNet,margin,4,1200,0.8826853922052873,0.011500232859964085
agnews,LinearSVC,MPNet,margin,5,1400,0.8793011655904356,0.0192272578590154
agnews,LinearSVC,MPNet,margin,6,1600,0.8895345327109546,0.00423264420645025
agnews,LinearSVC,MPNet,margin,7,1800,0.8944189225450887,0.0015657217909860644
agnews,LinearSVC,MPNet,margin,8,2000,0.8958562768001997,0.0029018717404794584
agnews,LinearSVC,MPNet,margin,9,2200,0.8918829605432519,0.00877088643936082
agnews,LinearSVC,MPNet,margin,10,2400,0.8980970106215578,0.0024653179469841706
agnews,LinearSVC,MPNet,margin,11,2600,0.902102038891042,0.0016021619081585986
agnews,LinearSVC,MPNet,margin,12,2800,0.9012607050532009,0.002479268970020727
agnews,LinearSVC,MPNet,margin,13,3000,0.903899203624014,0.001587138712549067
agnews,LinearSVC,MPNet,margin,14,3200,0.902719811017589,0.0029520317382754914
agnews,LinearSVC,MPNet,margin,15,3400,0.9039558043428886,0.0014487798933719655
agnews,LinearSVC,MPNet,margin,16,3600,0.9010356073220227,0.005923551993645487
agnews,LinearSVC,MPNet,margin,17,3800,0.9040653040017208,0.0008977315437326704
agnews,LinearSVC,MPNet,margin,18,4000,0.9068379001093739,0.0014432445483032563
agnews,LinearSVC,MPNet,margin,19,4200,0.9038429637901201,0.0011112617770469022
agnews,LinearSVC,MPNet,margin,20,4400,0.9069168106792734,0.0014751188491456408
agnews,LinearSVC,MPNet,margin,21,4600,0.907684272056954,0.00042841373726983296
agnews,LinearSVC,MPNet,margin,22,4800,0.9050997186207098,0.004040578728826801
agnews,LinearSVC,MPNet,margin,23,5000,0.9066183914791491,0.0010300600610125797
